term,name,definition,category,provenance,provenance_uri,note
calciumOxide,Calcium oxide,"Calcium oxide (CaO), commonly known as quicklime or burnt lime, is a widely used chemical compound.",,Wikipedia,https://en.wikipedia.org/wiki/Calcium_oxide,Added to support Critical Zone Observatory (CZO) data use cases. 
calciumTotal,"Calcium, total",Total Calcium (Ca),,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
canopyClosure,Canopy closure,Crown closure is a term used in forestry. Crown closure and crown cover are two slightly different measures of the forest canopy and that determine the amount of light able to penetrate to the forest floor.,,Wikipedia,https://en.wikipedia.org/wiki/Crown_closure,Added to support Critical Zone Observatory (CZO) data use cases. 
canopyHeight,Canopy height,"Forest canopy density and height are used as variables in a number of environmental applications, such as biomass estimation, vegetation coverage, and biodiversity determination. Canopy density, or canopy cover, is the ratio of vegetation to ground as seen from the air. Canopy height measures how far above the ground the top of the canopy is. Lidar can be used to determine both of these variables.",,,http://desktop.arcgis.com/en/arcmap/10.3/manage-data/las-dataset/lidar-solutions-estimating-forest-density-and-height.htm,Added to support Critical Zone Observatory (CZO) data use cases. 
canthaxanthin,Canthaxanthin,The phytoplankton pigment Canthaxanthin,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
carbaryl,Carbaryl,Carbaryl (C12H11NO2),,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
carbazole,Carbazole,Carbazole (C12H9N),,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
carbon,Carbon,"Carbon is a chemical element with symbol C and atomic number 6. It is nonmetallic and tetravalent—making four electrons available to form covalent chemical bonds. It belongs to group 14 of the periodic table. Three isotopes occur naturally, 12C and 13C being stable, while 14C is a radionuclide, decaying with a half-life of about 5,730 years. Carbon is one of the few elements known since antiquity.",,Wikipedia,https://en.wikipedia.org/wiki/Carbon,Added to support Critical Zone Observatory (CZO) data use cases. 
carbon_13StableIsotopeRatioDelta,"Carbon-13, stable isotope ratio delta",Difference in the 13C:12C ratio between the sample and standard (del C 13),,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
carbon_14,Carbon-14,A radioactive isotope of carbon which undergoes beta decay,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
carbonate,Carbonate,Carbonate ion (CO3-2) concentration,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
carbonDioxide,Carbon dioxide,Carbon dioxide,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
carbonDioxideDissolved,"Carbon Dioxide, dissolved",Dissolved Carbon dioxide (CO2),,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
carbonDioxideFlux,Carbon dioxide flux,Carbon dioxide (CO2) flux,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
carbonDioxideStorageFlux,Carbon dioxide storage flux,Carbon dioxide (CO2) storage flux,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
carbonDioxideTransducerSignal,"Carbon dioxide, transducer signal","Carbon dioxide (CO2), raw data from sensor",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
carbonDissolvedInorganic,"Carbon, dissolved inorganic",Dissolved Inorganic Carbon,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
carbonDissolvedOrganic,"Carbon, dissolved organic",Dissolved Organic Carbon,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
carbonDissolvedTotal,"Carbon, dissolved total",Dissolved Total (Organic+Inorganic) Carbon,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
carbonDisulfide,Carbon disulfide,Carbon disulfide (CS2),,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
carbonMonoxideDissolved,"Carbon monoxide, dissolved",Dissolved carbon monoxide (CO),,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
carbonOrganicExtractable,"Carbon, organic extractable","Mass of carbon extractable by water from soil or forest floor samples, also known as water-extractable organic carbon (WEOC)",,,http://solvita.com/wp-content/uploads/2012/12/Soil_Organic_CN_ojss_2012.pdf,Added to support Critical Zone Observatory (CZO) data use cases. 
carbonParticulateOrganic,"Carbon, particulate organic",Particulate organic carbon in suspension,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
carbonSuspendedInorganic,"Carbon, suspended inorganic",Suspended Inorganic Carbon,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
carbonSuspendedOrganic,"Carbon, suspended organic","DEPRECATED -- The use of this term is discouraged in favor of the use of the synonymous term ""Carbon, particulate organic"".",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
carbonSuspendedTotal,"Carbon, suspended total",Suspended Total (Organic+Inorganic) Carbon,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
carbonTetrachloride,Carbon tetrachloride,Carbon tetrachloride (CCl4),,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
carbonToNitrogenMassRatio,Carbon to nitrogen mass ratio,Carbon to nitrogen (C:N) mass ratio,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
carbonToNitrogenMolarRatio,Carbon to nitrogen molar ratio,Carbon to nitrogen (C:N) molar ratio,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
carbonTotal,"Carbon, total",Total (Dissolved+Particulate) Carbon,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
carbonTotalInorganic,"Carbon, total inorganic",Total (Dissolved+Particulate) Inorganic Carbon,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
carbonTotalOrganic,"Carbon, total organic",Total (Dissolved+Particulate) Organic Carbon,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
carbonTotalSolidPhase,"Carbon, total solid phase",Total solid phase carbon,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
cationExchangeCapacity,Cation exchange capacity (CEC),"Cation exchange capacity (CEC) is a measure of the total negative charges within the soil that adsorb plant nutrient cations such as calcium (Ca2+), magnesium (Mg2+) and potassium (K+). As such, the CEC is a property of a soil that describes its capacity to supply nutrient cations to the soil solution for plant uptake.",,,http://extension.uga.edu/publications/detail.html?number=C1040&title=Cation%20Exchange%20Capacity%20and%20Base%20Saturation,Added to support Critical Zone Observatory (CZO) data use cases. 
cellobiohydrolase,Cellobiohydrolase,"Exocellulases or cellobiohydrolases cleave two to four units from the ends of the exposed chains produced by endocellulase, resulting in tetrasaccharides or disaccharides, such as cellobiose. Exocellulases are further classified into type I, that work processively from the reducing end of the cellulose chain, and type II, that work processively from the nonreducing end.",Chemistry,Wikipedia,https://en.wikipedia.org/wiki/Cellulase,
cerium,Cerium,"Cerium is a chemical element with symbol Ce and atomic number 58. Cerium is a soft, ductile and silvery-white metal that tarnishes when exposed to air, and it is soft enough to be cut with a knife.",,Wikipedia,https://en.wikipedia.org/wiki/Cerium,Added to support Critical Zone Observatory (CZO) data use cases. 
ceriumDissolved,"Cerium, dissolved","Dissolved Cerium (Ce). ""Dissolved "" indicates a the measurement was made on a filtered sample.",,Wikipedia,https://en.wikipedia.org/wiki/Cerium,Added to support Critical Zone Observatory (CZO) data use cases. 
cesium,Cesium,"Caesium (IUPAC spelling) or cesium (American spelling) is a chemical element with symbol Cs and atomic number 55. It is a soft, silvery-gold alkali metal with a melting point of 28.5 °C (83.3 °F), which makes it one of only five elemental metals that are liquid at or near room temperature.",,Wikipedia,https://en.wikipedia.org/wiki/Caesium,Added to support Critical Zone Observatory (CZO) data use cases. 
cesium_137,Cesium-137,A radioactive isotope of cesium which is formed as a fission product by nuclear fission of uranium or plutonium.,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
cesiumDissolved,"Cesium, dissolved",Dissolved Cesium (Cs),,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
cesiumTotal,"Cesium, total",Total Cesium (Cs),,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
chloride,Chloride,Chloride (Cl-),,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
chlorideDissolved,"Chloride, dissolved",Dissolved Chloride (Cl-),,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
chlorideTotal,"Chloride, total",Total Chloride (Cl-),,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
chlorine,Chlorine,Chlorine (Cl2),,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
chlorineDissolved,"Chlorine, dissolved",Dissolved Chlorine (Cl2),,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
chlorobenzene,Chlorobenzene,Chlorobenzene (C6H5Cl),,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
chlorobenzilate,Chlorobenzilate,Chlorobenzilate (C16H14Cl2O3),,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
chloroethane,Chloroethane,Chloroethane (C2H5Cl),,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
chloroethene,Chloroethene,Chloroethene (C2H3Cl),,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
chloroform,Chloroform,"Chloroform (CHCl3), a haloform",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
chloromethane,Chloromethane,Chloromethane (CH3Cl),,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
chlorophyll_a,Chlorophyll a,Chlorophyll a,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
chlorophyll_a_Allomer,Chlorophyll a allomer,The phytoplankton pigment Chlorophyll a allomer,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
chlorophyll_a_b_c,Chlorophyll (a+b+c),Chlorophyll (a+b+c),,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
chlorophyll_a_CorrectedForPheophytin,"Chlorophyll a, corrected for pheophytin",Chlorphyll a corrected for pheophytin,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
chlorophyll_a_UncorrectedForPheophytin,"Chlorophyll a, uncorrected for pheophytin",Chlorophyll a uncorrected for pheophytin,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
chlorophyll_b,Chlorophyll b,Chlorophyll b,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
chlorophyll_c,Chlorophyll c,Chlorophyll c,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
chlorophyll_c1_And_c2,Chlorophyll c1 and c2,Chlorophyll c1 and c2,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
chlorophyllFluorescence,Chlorophyll fluorescence,Chlorophyll Fluorescence,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
chromium,Chromium,"Chromium is a chemical element with symbol Cr and atomic number 24. It is the first element in group 6. It is a steely-grey, lustrous, hard and brittle transition metal. Chromium boasts a high usage rate as a metal that is able to be highly polished while resisting tarnishing. Chromium is also the main component of stainless steel, a popular steel alloy due to its uncommonly high specular reflection. Simple polished chromium reflects almost 70% of the visible spectrum, with almost 90% of infrared light waves being reflected. The name of the element is derived from the Greek word χρῶμα, chrōma, meaning color, because many chromium compounds are intensely colored. ",,Wikipedia,https://en.wikipedia.org/wiki/Chromium,Added to support Critical Zone Observatory (CZO) data use cases. 
chromiumDissolved,"Chromium, dissolved",Dissolved Chromium,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
chromiumDistributionCoefficient,"Chromium, distribution coefficient",Ratio of concentrations of chromium in two phases in equilibrium with each other. Phases must be specified.,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
chromium_III,Chromium (III),Trivalent Chromium,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
chromiumParticulate,"Chromium, particulate",Particulate chromium (Cr) in suspension,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
chromiumTotal,"Chromium, total",Total chromium (Cr). Total indicates was measured on a whole water (unfiltered) sample.,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
chromium_VI,Chromium (VI),Hexavalent Chromium,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
chromium_VI_Dissolved,"Chromium (VI), dissolved",Dissolved Hexavalent Chromium,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
chrysene,Chrysene,"Chrysene (C18H12), a polycyclic aromatic hydrocarbon (PAH)",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
circumference,Circumference,"In geometry, the circumference (from Latin circumferens, meaning ""carrying around"") of a circle is the (linear) distance around it. That is, the circumference would be the length of the circle if it were opened up and straightened out to a line segment. Since a circle is the edge (boundary) of a disk, circumference is a special case of perimeter. The perimeter is the length around any closed figure and is the term used for most figures excepting the circle and some circular-like figures such as ellipses. Informally, ""circumference"" may also refer to the edge itself rather than to the length of the edge.",,Wikipedia,https://en.wikipedia.org/wiki/Circumference,Added to support Critical Zone Observatory (CZO) data use cases. 
cis_1_2_Dichloroethene,"cis-1,2-Dichloroethene","cis-1,2-Dichloroethene (C2H2Cl2)",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
cis_1_3_Dichloropropene,"cis-1,3-Dichloropropene","cis-1,3-Dichloropropene (C3H4Cl2)",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
Clay,Clay,"USDA particle size distribution category. Less then 0.002 mm diameter fine earth particles. 
",,NRCS USDA ,,See description at http://www.nrcs.usda.gov/wps/portal/nrcs/detail/soils/ref/?cid=nrcs142p2_054253
clinoptilolite,Clinoptilolite,"Clinoptilolite is a natural zeolite comprising a microporous arrangement of silica and alumina tetrahedra. It has the complex formula: (Na,K,Ca)2-3Al3(Al,Si)2Si13O36·12H2O. ",,Wikipedia,https://en.wikipedia.org/wiki/Clinoptilolite,Added to support Critical Zone Observatory (CZO) data use cases. 
cloudCover,Cloud cover,"Cloud cover (also known as cloudiness, cloudage, or cloud amount) refers to the fraction of the sky obscured by clouds when observed from a particular location.",,Wikipedia,https://en.wikipedia.org/wiki/Cloud_cover,Added to support Critical Zone Observatory (CZO) data use cases. 
cobalt,Cobalt,"Cobalt is a chemical element with symbol Co and atomic number 27. Like nickel, cobalt is found in the Earth's crust only in chemically combined form, save for small deposits found in alloys of natural meteoric iron. The free element, produced by reductive smelting, is a hard, lustrous, silver-gray metal.",,Wikipedia,https://en.wikipedia.org/wiki/Cobalt,Added to support Critical Zone Observatory (CZO) data use cases. 
cobalt_60,Cobalt-60,A synthetic radioactive isotope of cobalt with a half-life of 5.27 years.,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
cobaltDissolved,"Cobalt, dissolved",Dissolved Cobalt (Co),,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
cobaltTotal,"Cobalt, total",Total Cobalt (Co),,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
COD,COD,Chemical oxygen demand,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
coliformFecal,"Coliform, fecal",Fecal Coliform,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
coliformTotal,"Coliform, total",Total Coliform,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
color,Color,Color in quantified in color units,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
coloredDissolvedOrganicMatter,Colored dissolved organic matter,The concentration of colored dissolved organic matter (humic substances),,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
containerNumber,Container number,The identifying number for a water sampler container.,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
copper,Copper,"Copper is a chemical element with symbol Cu and atomic number 29. It is a soft, malleable, and ductile metal with very high thermal and electrical conductivity. A freshly exposed surface of pure copper has a pinkish-orange color. Copper is used as a conductor of heat and electricity, as a building material, and as a constituent of various metal alloys, such as sterling silver used in jewelry, cupronickel used to make marine hardware and coins, and constantan used in strain gauges and thermocouples for temperature measurement.",,Wikipedia,https://en.wikipedia.org/wiki/Copper,Added to support Critical Zone Observatory (CZO) data use cases. 
copperDissolved,"Copper, dissolved",Dissolved Copper (Cu),,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
copperDistributionCoefficient,"Copper, distribution coefficient",Ratio of concentrations of copper in two phases in equilibrium with each other. Phases must be specified.,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
copperParticulate,"Copper, particulate",Particulate copper (Cu) in suspension,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
copperTotal,"Copper, total","Total copper (Cu). ""Total"" indicates was measured on a whole water (unfiltered) sample.",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
countAreal,"Count, areal",Counts per area,,,https://www.nationalgeographic.org/encyclopedia/density/,Added to support Critical Zone Observatory (CZO) data use cases. 
counter,Counter,The total number of events within the measurement period,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
cristobalite,Cristobalite,"The mineral cristobalite is a high-temperature polymorph of silica, meaning that it has the same chemical formula as quartz, SiO2, but a distinct crystal structure.",,Wikipedia,https://en.wikipedia.org/wiki/Cristobalite,Added to support Critical Zone Observatory (CZO) data use cases. 
cryptophytes,Cryptophytes,The chlorophyll a concentration contributed by cryptophytes,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
curvature,Curvature,Curvature of a DEM measures the shape or curvature of the slope. A part of a surface can be concave or convex; you can tell that by looking at the curvature value. The curvature is calculated by computing the second derivative of the surface.,,,http://desktop.arcgis.com/en/arcmap/10.3/manage-data/raster-and-images/curvature-function.htm,Added to support Critical Zone Observatory (CZO) data use cases. 
cuscutaSppCoverage,Cuscuta spp. coverage,Areal coverage of the plant Cuscuta spp.,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
cyanide,Cyanide,Cyanide (CN),,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
cyclohexane,Cyclohexane,Cyclohexane (C6H6Cl6),,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
cytochromeP450Family1SubfamilyAPolypeptide1DeltaCycleThreshold,"Cytochrome P450, family 1, subfamily A, polypeptide 1, delta cycle threshold","Delta cycle threshold for Cytochrome P450, family 1, subfamily A, polypeptide 1 (cyp1a1). Cycle threshold is the PCR cycle number at which the fluorescent signal of the gene being amplified crosses the set threshold. Delta cycle threshold for cyp1a1 is the difference between the cycle threshold (Ct) of cyp1a1 gene expression and the cycle threshold (Ct) for the gene expression of the reference gene (e.g., beta-actin).",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
cytosolicProtein,Cytosolic protein,The total protein concentration within the cytosolic fraction of cells. The cytosol refers to the intracellular fluid or cytoplasmic matrix of a eukaryotic cell.,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
dataShuttleAttached,Data shuttle attached,A categorical variable marking the attachment of a coupler or data shuttle to a logger. This is used for quality control.,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
dataShuttleDetached,Data shuttle detached,A categorical variable marking the detatchment of a coupler or data shuttle to a logger. This is used for quality control.,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
delta_13COfC2H6,delta-13C of C2H6,Isotope 13C of ethane,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
delta_13COfC3H8,delta-13C of C3H8,Isotope 13C of propane,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
delta_13COfC4H10,delta-13C of C4H10,Isotope 13C of butane,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
delta_13COfCH4,delta-13C of CH4,Isotope 13C of methane,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
delta_13COfCO2,delta-13C of CO2,Isotope 13C of carbon dioxide,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
delta_13COfDIC,delta-13C of DIC,Isotope 13C of dissolved inorganic carbon (DIC),,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
delta_18OOfH2O,delta-18O of H2O,Isotope 18O of water,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
delta_DOfCH4,delta-D of CH4,hydrogen isotopes of methane,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
delta_DOfH2O,delta-D of H2O,hydrogen isotopes of water,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
density,Density,Density,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,
depth,Depth,The perpendicular measurement downward from a surface,,,https://www.merriam-webster.com/dictionary/depth,Added to support Critical Zone Observatory (CZO) data use cases. 
depthSnow,"Depth, snow",Depth of snow,,,https://www.merriam-webster.com/dictionary/depth,Added to support Critical Zone Observatory (CZO) data use cases. 
soilDepth,"Depth, soil ",Depth of soil,,Wikipedia,https://en.wikipedia.org/wiki/Silicon,Added to support Critical Zone Observatory (CZO) data use cases. 
